Population,Total_Wealth,Avg_Skill,Births,Deaths,Healer_Count,Toolmaker_Count,Trader_Count,Successful_Healings,Tools_Produced,Trades_Executed,Wealth_Traded
50,500.17,0.5,0,0,10,10,10,0,0,12,6.63
50,600.3555,0.5,0,0,10,10,10,0,0,10,7.234500000000001
50,700.555475,0.5,0,0,10,10,10,0,0,12,7.799025
50,800.7711625000001,0.5,0,0,10,10,10,0,0,14,8.411812500000002
50,901.13614,0.5,0,0,10,10,10,0,0,14,14.2341225
49,984.4328425,0.5,0,3,10,10,10,0,0,14,11.5713975
46,1025.67292475,0.5,0,9,10,10,10,0,0,8,9.36320775
46,1123.742005525,0.5065217391304347,0,0,10,10,10,6,13,12,14.394150224999999
46,1217.9373387225,0.5065217391304347,0,0,10,10,10,0,0,12,15.417994702500001
46,1312.1454606837501,0.5065217391304347,0,0,10,10,10,0,0,14,15.916756488750002
45,1380.36458439025,0.5088888888888888,0,3,10,10,10,0,1,14,16.3458245535
44,1445.7328398912875,0.5113636363636364,0,3,10,10,10,0,1,16,14.361964540462502
44,1537.080571727665,0.5113636363636364,0,0,10,10,10,0,0,14,13.561541618722499
44,1628.72754951504,0.5113636363636364,0,0,10,10,10,0,0,14,25.232133707625
42,1650.2181801290762,0.5119047619047619,0,6,10,10,10,0,0,14,19.13459394741375
40,1663.7417418170473,0.5125,0,6,10,10,10,0,0,14,20.418905830878753
40,1747.2632349536989,0.5125,0,0,10,10,10,0,0,12,20.338232329403624
37,1708.378982825409,0.5135135135135135,0,9,10,10,10,0,0,14,24.014166996697313
36,1761.5012963779998,0.5138888888888888,0,3,10,10,10,0,0,12,16.796992176546123
35,1795.4356352145833,0.5142857142857142,0,3,10,10,10,0,0,14,25.129214626756657
35,1869.0078244661336,0.5142857142857142,0,0,10,10,10,0,0,14,22.315380810456627
35,1942.6086169830799,0.5142857142857142,0,0,10,10,10,0,0,14,23.43090816091069
35,2021.589388496161,0.5228571428571428,0,0,10,10,10,8,13,12,22.617971672116596
34,2043.9743294407724,0.5235294117647059,0,3,10,10,10,0,0,12,22.812696839844097
33,2082.8583909379086,0.5242424242424243,0,3,10,10,10,0,0,12,29.875996431798576
33,2155.966292449756,0.5272727272727273,0,0,10,10,10,0,1,14,27.608158962055843
33,2228.14998980603,0.5272727272727273,0,0,10,10,10,0,0,14,30.56419689468085
33,2301.7259039798128,0.5303030303030303,0,0,10,10,10,0,1,12,22.46065277752552
31,2249.043164582921,0.532258064516129,0,6,10,10,10,0,0,10,12.373163521211252
30,2252.6463648509075,0.5333333333333333,0,3,10,10,10,0,0,12,23.52481045148285
27,2136.185336803349,0.5370370370370371,0,9,10,10,10,0,0,14,19.889972103279156
25,2058.6597538748047,0.54,0,6,10,10,10,0,0,14,18.50226578677926
25,2113.115204338954,0.54,0,0,10,10,10,0,0,14,24.328600491228578
24,2096.716373142614,0.5416666666666666,0,3,10,10,10,0,0,10,23.445583342745497
22,1975.5129489379615,0.5318181818181817,0,6,10,10,10,0,0,14,23.26645601855553
21,2002.7037268634604,0.5333333333333333,0,3,10,10,10,0,0,14,24.03522893491831
20,1970.679964320357,0.5349999999999999,0,3,10,10,10,0,0,14,14.02418542259639
20,2015.3522543710817,0.5349999999999999,0,0,10,10,10,0,0,14,18.419311978269942
18,1957.6589042205296,0.5388888888888889,0,6,10,10,10,0,0,14,19.416087958584175
16,1863.2696563782215,0.54375,0,6,10,10,10,0,0,14,7.273105690552915
14,1697.863397154015,0.5357142857142858,0,6,10,10,10,0,0,14,15.355890255941237
14,1732.9883411210465,0.55,2,0,10,10,10,2,12,18,16.572814714227928
14,1765.4255215493895,0.55,0,0,10,10,10,0,0,18,9.250036705378722
14,1799.2610492880262,0.5571428571428572,0,0,10,10,10,0,1,18,24.78558180682866
14,1832.348189770715,0.5571428571428572,0,0,10,10,10,0,0,14,11.19847882486321
14,1867.129208606609,0.5642857142857143,0,0,10,10,10,0,1,16,14.859734599861847
13,1801.7433286479923,0.5692307692307692,0,3,10,10,10,0,0,16,8.35068161395175
13,1834.8639582360815,0.5769230769230769,0,0,10,10,10,2,11,16,8.604553935477885
13,1868.2101655147105,0.5846153846153845,0,0,10,10,10,0,1,16,13.50208386653881
2,871.6946934072506,0.7,0,33,10,10,10,0,11,14,15.530253566959074
