Population,Total_Wealth,Avg_Skill,Births,Deaths,Births_Cumul,Deaths_Cumul,Healer_Count,Toolmaker_Count,Trader_Count,Successful_Healings,Tools_Produced,Trades_Executed,Wealth_Traded
54,520.145,0.5,4,0,4,0,10,10,10,0,1,10,5.655000000000001
54,628.281375,0.5,0,0,4,0,10,10,10,0,4,10,5.318625
56,746.41875,0.5,2,0,6,0,10,10,10,0,0,8,5.3576250000000005
59,873.55525,0.5,3,0,9,0,10,10,10,0,0,12,5.323499999999999
59,993.46044875,0.5016949152542373,0,0,9,0,10,10,10,0,2,14,11.902751250000001
63,1132.41374413125,0.5023809523809524,4,0,13,0,10,10,10,0,0,14,13.778519868750001
64,1250.402049274375,0.5023437500000001,2,1,15,1,10,10,10,0,4,14,15.143900581875
65,1353.1056265975267,0.5023076923076923,3,2,18,3,10,10,10,2,0,16,18.661485523687503
64,1461.4697429315584,0.50234375,0,1,18,4,10,10,10,0,1,18,18.100537027243124
66,1580.8449405865586,0.5022727272727272,3,1,21,5,10,10,10,0,1,16,18.532708544999995
65,1687.4903089820339,0.5038461538461538,0,1,21,6,10,10,10,0,1,18,19.50009481095
65,1797.289989543242,0.5053846153846154,1,1,22,7,10,10,10,0,4,16,27.287541887113097
64,1901.0617661125766,0.50703125,0,1,22,8,10,10,10,2,2,14,22.29928620405429
65,2038.7050205749779,0.5084615384615384,1,0,23,8,10,10,10,0,2,16,13.386924033648858
65,2142.553172149978,0.5084615384615384,1,1,24,9,10,10,10,0,0,18,21.377911424999997
64,2201.669855227478,0.51015625,2,3,26,12,10,10,10,2,1,16,27.950640022500004
65,2339.367524479453,0.51,1,0,27,12,10,10,10,0,0,18,31.109100827034215
64,2437.4419154177385,0.51328125,0,1,27,13,10,10,10,0,3,20,44.63124659313149
63,2525.860492043959,0.5142857142857142,1,2,28,15,10,10,10,0,0,14,30.117742775249997
62,2626.5067666584587,0.5161290322580645,0,1,28,16,10,10,10,0,1,14,25.204709965499998
61,2712.2303828503414,0.5196721311475411,0,1,28,17,10,10,10,2,4,16,47.60098494644999
62,2849.4949704950186,0.5237903225806452,1,0,29,17,10,10,10,0,3,14,18.118918142412753
61,2921.081495746646,0.523360655737705,1,2,30,19,10,10,10,2,0,16,40.430303062499995
61,3051.7989739323984,0.523360655737705,0,0,30,19,10,10,10,0,0,16,6.531649244347501
61,3131.9094737838477,0.5250000000000001,1,1,31,20,10,10,10,0,1,16,35.69855469374998
62,3217.970052911827,0.5254032258064517,2,1,33,21,10,10,10,0,3,20,62.69131878836862
62,3253.2812845257554,0.5262096774193549,2,2,35,23,10,10,10,0,2,20,38.98321168950001
61,3292.7705259307554,0.5290983606557377,1,2,36,25,10,10,10,0,3,20,51.93791479500001
59,3231.670898650488,0.5292372881355932,2,4,38,29,10,10,10,2,0,20,38.67670714050001
54,3052.2903010244277,0.5282407407407408,0,5,38,34,10,10,10,0,2,20,42.61980321397499
52,3043.6689106702133,0.5254807692307693,0,2,38,36,10,10,10,2,0,20,51.547643079083684
51,3030.5750065466646,0.5259803921568628,1,2,39,38,10,10,10,0,0,16,25.2332189499
52,3079.910570899168,0.5312500000000001,2,1,41,39,10,10,10,2,3,18,40.401094500000006
49,2988.506512878107,0.5290816326530612,0,3,41,42,10,10,10,0,4,16,42.1811983125
48,2925.2245451402896,0.5276041666666667,2,3,43,45,10,10,10,0,1,16,29.61055323525
47,2840.275582044093,0.5287234042553192,2,3,45,48,10,10,10,0,3,18,36.55121492384877
48,2947.5031850732844,0.5302083333333333,1,0,46,48,10,10,10,0,2,18,58.156663500000015
48,2983.618760660268,0.5343749999999999,1,1,47,49,10,10,10,0,4,18,36.616125000000004
49,3019.9015610347974,0.5331632653061225,2,1,49,50,10,10,10,0,0,18,38.32921460666181
49,3110.3646184792015,0.5331632653061225,1,1,50,51,10,10,10,0,1,18,43.2959760293775
47,3034.7943844391343,0.5382978723404255,1,3,51,54,10,10,10,0,3,20,29.45231539726283
45,3026.252903992715,0.5411111111111111,1,3,52,57,10,10,10,0,2,16,33.65113258963876
44,3052.569820065358,0.5443181818181817,0,1,52,58,10,10,10,0,2,14,18.200487887546863
42,3085.035046962512,0.5464285714285714,0,2,52,60,10,10,10,0,4,16,31.406582576692358
42,3033.8892982510934,0.5464285714285714,2,2,54,62,10,10,10,2,0,16,14.98732892534475
41,3016.7839554723305,0.5451219512195122,0,1,54,63,10,10,10,0,4,16,23.507144600301537
39,2942.2114162786715,0.5461538461538461,0,2,54,65,10,10,10,0,3,12,7.459837436228883
41,3012.8194799995817,0.5451219512195122,3,1,57,66,10,10,10,2,2,16,20.957543625155296
40,3007.159472702589,0.54625,0,1,57,67,10,10,10,2,1,12,8.596606510814109
41,3103.5694166561084,0.548170731707317,1,0,58,67,10,10,10,0,1,16,43.088923601371356
