Population,Total_Wealth,Avg_Skill,Births,Deaths,Births_Cumul,Deaths_Cumul,Healer_Count,Toolmaker_Count,Trader_Count,Successful_Healings,Tools_Produced,Trades_Executed,Wealth_Traded
52,508.575,0.5,3,1,3,1,10,10,10,2,0,6,2.9250000000000003
55,627.76525,0.5,3,0,6,1,10,10,10,0,0,14,7.4197500000000005
57,748.04575,0.5,2,0,8,1,10,10,10,0,2,12,10.9395
59,867.87783125,0.5016949152542373,4,2,12,3,10,10,10,0,2,14,9.05116875
60,981.79327716375,0.5016666666666667,2,1,14,4,10,10,10,0,1,18,12.302390636250001
60,1093.037687583,0.5033333333333333,1,1,15,5,10,10,10,2,2,20,21.23200635075
61,1219.7976910080001,0.5032786885245901,1,0,16,5,10,10,10,0,1,20,21.840133575000007
61,1327.531037508,0.5032786885245901,1,1,17,6,10,10,10,0,0,16,20.8005135
64,1466.412953508,0.503125,3,0,20,6,10,10,10,0,1,18,26.594724000000003
64,1580.9615064957982,0.5046875,1,1,21,7,10,10,10,0,2,18,20.22356652413175
65,1716.5113340957982,0.5046153846153846,1,0,22,7,10,10,10,0,3,18,29.243276400000006
67,1838.9359012607983,0.5059701492537313,3,1,25,8,10,10,10,0,3,16,29.428119435000003
68,1955.0845484242982,0.5066176470588235,2,1,27,9,10,10,10,0,2,16,29.197239376500008
68,2070.9221376085484,0.5080882352941176,1,1,28,10,10,10,10,0,1,18,30.715978185750004
69,2205.8878306781335,0.5079710144927536,2,1,30,11,10,10,10,2,0,16,24.288631063515
68,2321.1552865910585,0.5080882352941176,1,2,31,13,10,10,10,0,1,16,37.730780604075
70,2472.5668473239407,0.5092857142857142,2,0,33,13,10,10,10,0,1,16,19.950868582417502
74,2603.8935036989405,0.5087837837837837,5,1,38,14,10,10,10,2,1,20,36.139598625000005
74,2654.6274908614405,0.5108108108108108,3,3,41,17,10,10,10,0,3,14,29.143614337499997
74,2778.496448408668,0.5135135135135135,1,1,42,18,10,10,10,0,2,18,22.094251888553327
74,2932.608497781455,0.5148648648648648,0,0,42,18,10,10,10,0,2,18,22.738951774472994
79,3113.358555814489,0.5183544303797467,5,0,47,18,10,10,10,0,2,18,36.44972074857494
80,3241.9954753549155,0.5199999999999999,3,2,50,20,10,10,10,0,4,20,55.03260314648345
82,3323.077928560935,0.5176829268292682,4,2,54,22,10,10,10,0,1,20,63.475283186842425
85,3427.7042434269256,0.5176470588235295,5,2,59,24,10,10,10,0,2,20,63.298307503665
85,3528.94500441531,0.518235294117647,2,2,61,26,10,10,10,0,0,20,49.75905529945351
85,3622.0794686357563,0.5182352941176469,3,3,64,29,10,10,10,0,0,20,58.257739741500004
89,3757.864002870958,0.5224719101123595,5,1,69,30,10,10,10,0,2,20,36.565368206332195
92,3905.9259040333304,0.5228260869565217,4,1,73,31,10,10,10,0,1,20,30.27998402323005
94,4103.486981593861,0.5236702127659574,2,0,75,31,10,10,10,0,1,20,40.56614937981087
92,4074.1751240492576,0.5263586956521739,2,4,77,35,10,10,10,0,2,20,41.0109345162629
93,4232.438041347238,0.5271505376344086,2,1,79,36,10,10,10,0,4,20,45.10697903439841
92,4421.866203404361,0.528804347826087,0,1,79,37,10,10,10,0,4,20,43.52481087644668
90,4535.713325553311,0.5305555555555556,0,2,79,39,10,10,10,2,3,20,55.76876844494981
87,4430.573577312314,0.5304597701149424,2,5,81,44,10,10,10,0,1,20,54.020152630493286
86,4539.485149845967,0.5331395348837209,0,1,81,45,10,10,10,2,3,20,41.38086893569596
87,4663.04521502074,0.5333333333333332,2,1,83,46,10,10,10,0,0,20,50.651367912603334
86,4690.976029979366,0.5337209302325581,2,3,85,49,10,10,10,2,2,20,40.48821599844678
83,4761.041564184579,0.5361445783132529,0,3,85,52,10,10,10,0,2,20,24.40746255164149
83,4894.382963405234,0.5376506024096386,2,2,87,54,10,10,10,2,1,20,33.69168556196566
84,4917.310543958626,0.5389880952380952,3,2,90,56,10,10,10,0,2,20,37.411691525460505
82,4811.4008330490615,0.5426829268292683,3,5,93,61,10,10,10,2,2,20,47.71055913001656
79,4572.966649643605,0.5462025316455696,4,7,97,68,10,10,10,2,1,20,39.943295653806594
81,4716.937787752997,0.5456790123456791,3,1,100,69,10,10,10,4,0,20,55.95688269650604
81,4845.328551584202,0.5475308641975308,1,1,101,70,10,10,10,0,3,20,39.96812199327376
80,4836.455522787217,0.548125,1,2,102,72,10,10,10,0,0,20,38.187464335370045
80,4945.662271802719,0.5503125,1,1,103,73,10,10,10,0,3,20,50.75348706580833
84,5142.627721265013,0.5526785714285714,4,0,107,73,10,10,10,0,3,20,53.853329903773954
86,5338.0102442933585,0.5531976744186046,2,0,109,73,10,10,10,2,2,16,41.92470602675894
88,5541.456089337173,0.5548295454545454,3,1,112,74,10,10,10,0,3,16,59.33192151793257
