Population,Total_Wealth,Avg_Skill,Births,Deaths,Healer_Count,Toolmaker_Count,Trader_Count,Successful_Healings,Tools_Produced,Trades_Executed,Wealth_Traded
50,500.135,0.5,0,0,10,10,10,0,0,10,5.265000000000001
49,591.2715000000001,0.5,0,3,10,10,10,0,0,8,5.3235
48,681.46635,0.5041666666666667,4,3,10,10,10,4,12,10,7.59915
46,753.8321675,0.5065217391304347,0,6,10,10,10,0,1,12,6.4668825000000005
46,847.6957175,0.5065217391304347,0,0,10,10,10,0,0,2,2.4784500000000005
46,946.5645825,0.5130434782608696,0,0,10,10,10,0,3,10,10.485735000000002
46,1042.3270325,0.5130434782608696,0,0,10,10,10,0,0,8,6.3355500000000005
46,1138.1252935,0.5130434782608696,0,0,10,10,10,0,0,10,7.732179
46,1233.86777977,0.5130434782608696,0,0,10,10,10,0,0,18,5.55696453
46,1329.73969842,0.5130434782608696,0,0,10,10,10,0,0,14,10.60482735
46,1425.57490213,0.5130434782608696,0,0,10,10,10,0,0,14,9.17294469
46,1521.5374618315,0.5130434782608696,0,0,10,10,10,0,0,10,14.139828358499997
46,1617.4248347191,0.5130434782608696,0,0,10,10,10,0,0,16,11.207542616400001
46,1717.0652156290569,0.5195652173913043,6,0,10,10,10,2,13,18,10.513026447885
45,1783.2593252465754,0.5244444444444446,7,3,10,10,10,6,12,18,11.4702750832215
43,1807.6396458389552,0.5279069767441861,0,6,10,10,10,0,1,18,7.032503102815419
43,1904.036533881246,0.5302325581395348,8,0,10,10,10,4,11,20,23.278633649339245
42,1964.709923214314,0.5333333333333333,0,3,10,10,10,0,1,20,10.857183989643957
42,2058.4303194294152,0.5357142857142857,0,0,10,10,10,0,1,20,12.495452388964619
42,2157.819505039768,0.5428571428571429,9,0,10,10,10,12,13,20,15.178238803746913
40,2158.971122709697,0.5449999999999999,0,6,10,10,10,0,0,12,13.713089127225599
40,2251.320319699717,0.5475,0,0,10,10,10,0,1,18,5.818682610793662
38,2270.63825280715,0.55,0,6,10,10,10,0,0,18,22.323344877568786
37,2301.1127293273676,0.5513513513513513,0,3,10,10,10,0,0,20,7.5101326220099365
36,2331.745323530921,0.5527777777777777,0,3,10,10,10,0,0,10,9.071173938571496
35,2367.117195808635,0.56,0,3,10,10,10,0,2,4,6.703018830865501
34,2390.4105108080225,0.5617647058823529,0,3,10,10,10,0,0,8,10.849798946805
33,2357.298068008825,0.5393939393939393,0,3,10,10,10,0,0,8,11.214730831292282
31,2305.8755181874776,0.5419354838709677,0,6,10,10,10,0,0,16,10.820556967454065
31,2375.5462963065875,0.5451612903225806,6,0,10,10,10,2,11,16,19.30982733716205
30,2381.76644301473,0.5533333333333332,0,3,10,10,10,0,2,12,8.585721617575699
29,2382.8097059924635,0.5551724137931034,0,3,10,10,10,0,0,10,9.228465814185146
28,2394.416641870457,0.5571428571428572,0,3,10,10,10,0,0,8,8.889499241753928
27,2395.0347261033885,0.5592592592592592,0,3,10,10,10,0,0,6,8.115285084329816
25,2242.720483436723,0.536,0,6,10,10,10,0,0,10,1.248888501147895
24,2221.33761808405,0.5375,0,3,10,10,10,0,0,10,8.468251245756951
21,2040.9709643290507,0.5428571428571428,0,9,10,10,10,0,0,10,9.100503555022135
20,2007.672381477092,0.5449999999999999,0,3,10,10,10,0,0,18,11.755268773603362
20,2053.112862340539,0.5449999999999999,0,0,10,10,10,0,0,12,1.5787536744312451
20,2098.7545397460135,0.5449999999999999,0,0,10,10,10,0,0,12,9.425418813512817
20,2144.443776724481,0.5449999999999999,0,0,10,10,10,0,0,14,11.28024216021675
20,2190.113948849668,0.5449999999999999,0,0,10,10,10,0,0,12,10.53671288229587
20,2237.3699786516495,0.5499999999999999,0,0,10,10,10,0,1,10,9.985162277288437
19,2248.5757625588385,0.5631578947368421,0,3,10,10,10,0,2,12,10.820949805463332
15,1913.2295732063862,0.58,0,12,10,10,10,0,0,12,9.898615254371343
15,1950.6841537121143,0.58,0,0,10,10,10,0,0,12,9.928639723387505
12,1689.697673838525,0.6,0,9,10,10,10,0,0,12,8.29995839552212
12,1721.2411914791983,0.6,0,0,10,10,10,0,0,14,13.397187986260125
11,1647.0815266439051,0.609090909090909,0,3,10,10,10,0,0,14,9.373071423563319
10,1571.8236774643083,0.6199999999999999,0,3,10,10,10,0,0,16,12.381716827199666
