Population,Total_Wealth,Avg_Skill,Births,Deaths,Births_Cumul,Deaths_Cumul,Healer_Count,Toolmaker_Count,Trader_Count,Successful_Healings,Tools_Produced,Trades_Executed,Wealth_Traded
52,512.25025,0.5019230769230769,2,0,2,0,10,10,10,2,11,12,5.85975
54,624.55275,0.5037037037037037,3,1,5,1,10,10,10,0,1,6,3.9975
51,702.1605,0.503921568627451,0,3,5,4,10,10,10,0,0,16,12.002250000000002
51,798.1999925,0.503921568627451,1,1,6,5,10,10,10,2,10,14,13.240207500000002
57,935.859284,0.5087719298245614,6,0,12,5,10,10,10,0,3,14,10.1123685
58,1061.91449579875,0.5137931034482759,1,0,13,5,10,10,10,0,3,20,17.753260151250004
58,1184.1814183563488,0.5155172413793104,0,0,13,5,10,10,10,0,1,18,18.20997974635125
61,1303.7969665157943,0.5131147540983607,4,1,17,6,10,10,10,0,1,14,13.017113321101013
62,1436.0671909050377,0.5129032258064516,1,0,18,6,10,10,10,0,0,18,18.338751180488504
62,1566.8160044550375,0.5145161290322581,0,0,18,6,10,10,10,0,1,14,13.603728449999998
63,1697.7831435418566,0.5166666666666666,2,1,20,7,10,10,10,0,0,16,22.118424385939658
68,1854.3311967053971,0.5154411764705882,5,0,25,7,10,10,10,0,0,20,33.58308235912501
70,2008.8065793170385,0.5164285714285715,2,0,27,7,10,10,10,0,1,12,22.439921854021456
72,2168.733341754306,0.5194444444444444,2,0,29,7,10,10,10,0,2,14,16.643735053428305
73,2332.235410524902,0.5246575342465754,1,0,30,7,10,10,10,2,14,18,15.680682053241469
72,2476.8910418787623,0.5249999999999999,0,1,30,8,10,10,10,0,0,20,33.36962280055583
73,2638.755573354953,0.5267123287671234,1,0,31,8,10,10,10,8,11,18,33.47226669443279
74,2806.141324069718,0.5304054054054054,1,0,32,8,10,10,10,0,3,16,42.344277875835
74,2936.494964370098,0.5331081081081082,1,1,33,9,10,10,10,0,2,18,39.9911967726765
73,3058.229105710421,0.5335616438356164,0,1,33,10,10,10,10,0,0,20,40.97550172523212
74,3183.2872300602517,0.5364864864864866,2,1,35,11,10,10,10,0,2,20,36.086422104128886
75,3356.616645499717,0.5413333333333333,1,0,36,11,10,10,10,0,3,20,39.952000535267786
75,3409.174022519357,0.5426666666666667,3,3,39,14,10,10,10,0,0,20,30.25690013806733
73,3493.1892941478804,0.547945205479452,0,2,39,16,10,10,10,0,3,18,39.47109710722814
75,3640.950340041223,0.5513333333333332,3,1,42,17,10,10,10,0,3,16,28.681219840361813
71,3668.515430008715,0.5542253521126761,0,4,42,21,10,10,10,0,0,20,57.70464281594998
71,3680.214026868391,0.556338028169014,3,3,45,24,10,10,10,0,1,20,32.268710513363146
69,3647.4093634789147,0.5695652173913042,2,4,47,28,10,10,10,6,14,20,28.77976649541339
73,3831.762449177182,0.567123287671233,4,0,51,28,10,10,10,0,1,18,17.472102229252723
72,3814.8702051897662,0.5597222222222222,2,3,53,31,10,10,10,0,0,18,40.70659552757111
74,3995.493239058143,0.5635135135135134,2,0,55,31,10,10,10,0,0,20,39.05494553681295
75,4086.5917080811287,0.5623333333333332,3,2,58,33,10,10,10,0,0,18,30.098100797940713
72,3965.415773482235,0.5628472222222223,1,4,59,37,10,10,10,0,0,18,47.84721766519653
72,4069.167772159563,0.5642361111111112,1,1,60,38,10,10,10,0,1,20,45.17340987189192
70,4157.153257099021,0.5707142857142858,2,4,62,42,10,10,10,0,2,20,63.32626960556894
71,4116.171194400589,0.5669014084507041,4,3,66,45,10,10,10,0,0,18,49.32544322651745
71,4106.692878981839,0.5640845070422534,2,2,68,47,10,10,10,0,0,18,49.97617174834981
70,4200.8923872647665,0.5671428571428571,0,1,68,48,10,10,10,0,3,18,42.3920767040184
68,4237.736099586792,0.5691176470588235,0,2,68,50,10,10,10,0,0,20,54.11347143159751
68,4345.685292281495,0.5702205882352941,1,1,69,51,10,10,10,0,0,20,50.72601527982092
69,4502.095577988796,0.5692028985507246,1,0,70,51,10,10,10,0,0,18,44.346414201557494
71,4600.573801927244,0.5676056338028169,3,1,73,52,10,10,10,0,0,20,58.84318298033098
68,4546.557662243238,0.5632352941176472,0,3,73,55,10,10,10,0,0,20,39.397735921505614
68,4694.424489884529,0.5632352941176472,0,0,73,55,10,10,10,0,0,18,60.225141159719065
67,4668.70940313234,0.5619402985074626,1,2,74,57,10,10,10,0,0,16,50.82352985581162
67,4579.851606203155,0.5522388059701492,2,2,76,59,10,10,10,0,0,18,38.188643672975815
67,4615.024845375628,0.5507462686567164,1,1,77,60,10,10,10,0,0,16,30.0922752841327
69,4776.097210463011,0.5534420289855071,2,0,79,60,10,10,10,2,12,16,25.934981500030965
68,4787.724914484785,0.5553308823529413,2,3,81,63,10,10,10,0,1,18,34.465595190055275
73,4963.514273446445,0.5566780821917808,5,0,86,63,10,10,10,0,3,16,24.39663042046425
