Population,Total_Wealth,Avg_Skill,Births,Deaths,Births_Cumul,Deaths_Cumul,Healer_Count,Toolmaker_Count,Trader_Count,Successful_Healings,Tools_Produced,Trades_Executed,Wealth_Traded
53,354.87505610542144,0.5,3,0,3,0,10,10,10,0,2,12,5.85
54,303.5639763981924,0.5,4,3,7,3,10,10,10,0,2,8,3.3827625
55,245.89450649429435,0.5,2,1,9,4,10,10,10,0,1,16,3.327025021974142
57,203.73341307257562,0.5,5,3,14,7,10,10,10,0,0,16,3.4209886364625435
50,185.2051715513513,0.5,1,8,15,15,10,10,10,0,0,10,2.9366906028281248
46,181.98435190969442,0.5,2,6,17,21,10,10,10,0,1,10,1.0875575941546876
45,178.98791273871603,0.5,2,3,19,24,10,10,10,0,1,10,1.669100184375
45,176.97183931151875,0.5,2,2,21,26,10,10,10,0,0,12,1.1966118072946172
45,173.18913096234,0.5,1,1,22,27,10,10,10,0,2,14,2.2406977188538475
42,179.72126138804154,0.5,3,6,25,33,10,10,10,0,2,14,2.1476018455198433
45,183.7813227435343,0.5,3,0,28,33,10,10,10,0,2,16,3.9649943052773895
45,177.3183864999078,0.5,1,1,29,34,10,10,10,0,0,12,2.723572785106875
48,185.89579145628332,0.5,4,1,33,35,10,10,10,0,1,14,2.9975516907374997
45,181.74762495628332,0.5,2,5,35,40,10,10,10,0,1,16,4.016691566233124
40,172.68747358510163,0.5,1,6,36,46,10,10,10,0,0,16,4.186030570305384
37,162.72886207150307,0.5,0,3,36,49,10,10,10,0,1,18,3.534538495849795
38,170.364500690538,0.5,3,2,39,51,10,10,10,0,0,14,1.4213854872345324
34,163.34678422952376,0.5,0,4,39,55,10,10,10,0,2,14,1.2588836877786633
32,158.16308155172393,0.5,0,2,39,57,10,10,10,0,1,12,0.7016454932755241
30,153.53849385422393,0.5,0,2,39,59,10,10,10,0,0,18,2.017757054604647
29,164.90888734172393,0.5,3,4,42,63,10,10,10,0,2,12,0.3612395321289538
27,166.11744538673346,0.5074074074074074,1,3,43,66,10,10,10,0,2,18,2.458896412100664
27,164.94150047689064,0.5111111111111112,1,1,44,67,10,10,10,0,1,12,1.0030524155861897
27,170.06636149745472,0.5111111111111112,2,2,46,69,10,10,10,0,0,14,0.3433979572052523
27,179.20123649745472,0.5074074074074074,3,3,49,72,10,10,10,0,1,14,0.36517734303066135
26,175.73478358361095,0.5076923076923077,1,2,50,74,10,10,10,0,5,12,1.2899746584716063
24,167.09695751730212,0.5,0,2,50,76,10,10,10,0,3,16,1.292265642006897
24,159.69695751730214,0.5,0,0,50,76,10,10,10,0,0,18,2.7602727144831207
22,154.49695751730212,0.5,0,2,50,78,10,10,10,0,2,16,1.9631115275200022
21,151.87152270395922,0.5,0,1,50,79,10,10,10,0,1,18,4.3082515136829
21,161.41461785784145,0.5,2,2,52,81,10,10,10,0,1,20,4.401855557509499
20,163.65426273880107,0.5,1,2,53,83,10,10,10,0,2,16,2.2843580913952173
20,165.05017704007605,0.5,1,1,54,84,10,10,10,0,1,18,2.1050267201378823
20,159.56195417480578,0.5,0,0,54,84,10,10,10,0,1,16,4.06795474429165
20,164.7092624515539,0.5,2,2,56,86,10,10,10,0,1,18,1.4971845008128832
18,158.8566149515539,0.5,0,2,56,88,10,10,10,0,1,18,2.1454301914775833
17,154.9628705666698,0.5,0,1,56,89,10,10,10,0,2,20,3.316979786794492
16,157.3628705666698,0.5,1,2,57,91,10,10,10,0,0,18,2.464239743152896
14,154.23013295943264,0.5,0,2,57,93,10,10,10,0,2,18,0.9751613186107608
15,157.91346614251017,0.5,1,0,58,93,10,10,10,0,3,20,1.7178573989801251
15,155.44130199405774,0.5,0,0,58,93,10,10,10,0,1,18,1.7871856782531261
12,157.746931838509,0.5,1,4,59,97,10,10,10,0,0,18,2.2692133425654815
10,155.15308645490163,0.5,0,2,59,99,10,10,10,0,0,18,3.354964660696648
10,152.46821880700995,0.5,0,0,59,99,10,10,10,0,3,20,3.1279947565810002
10,156.06821880700994,0.5,1,1,60,100,10,10,10,0,1,18,2.193601272525
10,153.61349664317788,0.5,0,0,60,100,10,10,10,0,2,18,2.023917904599073
12,162.91349664317787,0.5,2,0,62,100,10,10,10,2,3,18,1.0790593495004785
12,159.31349664317787,0.5,0,0,62,100,10,10,10,0,0,20,1.352711921206471
12,156.01349664317786,0.5,0,0,62,100,10,10,10,0,3,20,1.7268727757650801
12,157.23332828744563,0.5,1,1,63,101,10,10,10,0,1,20,2.107416167359999
